index,area,city
941,Besthapalli ,4
942,Besthapalli ,4
943,Bethayapalli ,4
944,Bhagampalli ,4
945,Bhumayapalli ,4
946,Bommavaram ,4
947,Bonamala ,4
948,Boppapuram ,4
949,Botlachervu ,4
950,Botumeedipalli ,4
951,Boyanapalli ,4
952,Brahmana Erragudi ,4
953,Brahmanapalli ,4
954,Brahmanapalli ,4
955,Brahmanapalli ,4
956,Buddayapalli ,4
957,Budida Gunta Palli ,4
958,Budidagunta Rachapalli ,4
959,Buduguntapalli ,4
960,Buduguntapalli ,4
961,Burujupalli 1 ,4
962,Burujupalli 2 ,4
963,CENTRAL PRIN ,4
964,Chakrapunayanipet ,4
965,Chakrayapet ,4
966,Cheemalacheruvupalli ,4
967,Chemmumiapet ,4
968,Chenduvoyi ,4
969,Chennampalli ,4
970,Chennamukka Palli ,4
971,Chennarajupodu ,4
972,Chennavaram ,4
973,Chennupalli ,4
974,Chennur  (Cuddapah),4
975,Cherlopalli ,4
976,Cheruvukinda Rachapalli ,4
977,Cheyyeru  Project ,4
978,Chilakampalli ,4
979,Chinna Musali Reddy Palli ,4
980,Chinnachowk ,4
981,Chinnakampalli ,4
982,Chinnakesampalli ,4
983,Chinnamachupalli ,4
984,Chinnamandem ,4
985,Chinnampelli ,4
986,Chinnaorampadu ,4
987,Chintha Komma Dinne ,4
988,Chinthalacheruvu ,4
989,Chinthalapalli ,4
990,Chintharajupalli ,4
991,Chitlur ,4
992,Chitvel ,4
993,Chiyyavaram ,4
994,Cooperative Colony ,4
995,Cuddapah Coop Sugars ,4
996,Cuddapah H.O,4
997,Cuddapah R.S ,4
998,Dalavaipalli ,4
999,Dammanapalli ,4
1000,Dandlapalli ,4
1001,Dappepalli ,4
1002,Degalavandlapalli ,4
1003,Devagudipalli ,4
1004,Devamachupalli ,4
1005,Devapatla ,4
1006,Diguvagottiveedu ,4
1007,Diguvanelatur ,4
1008,Dinnepadu ,4
1009,Dirasavantsa ,4
1010,Dudyala ,4
1011,Dumpalagattu ,4
1012,Edapalli ,4
1013,Eguvagottiveedu ,4
1014,Eguvanelatur ,4
